/* COLUMN_NAME	 COLNO	 NULLS	 PK	 DATA_TYPE	DEFAULTVALUE
SCHESAP.ACCOUNT_EXTERNAL_REF
ACEXT_ACCOUNT_TYPE_ID	1	N	Y	SMALLINT	
ACEXT_BRANCH_CODE	2	N	Y	SMALLINT	
ACEXT_ACCOUNT_NUMBER	3	N	Y	INTEGER 	
ACEXT_ADDITIONAL_KEY	4	N	Y	VARCHAR (50)	
ACEXT_ACCOUNT_ID	5	N	N	BIGINT  	
ACEXT_EXPIRE_TS	6	Y	N	TIMESTMP	
ACEXT_IBAN	7	N	N	CHAR    (26)	
ACEXT_ACCOUNT_LOCATION	8	N	N	CHAR    (1)	
ACEXT_PARTITION_INDEX	9	N	N	SMALLINT
SCHESAP.ACCOUNT_CUSTOMER_REL
ACCUS_ID	1	N	Y	BIGINT  	
ACCUS_CUSTOMER_ID	2	N	N	INTEGER 	
ACCUS_ACCOUNT_ID	3	N	N	BIGINT  	
ACCUS_TYPE	4	N	N	SMALLINT	
ACCUS_START_DATE	5	N	N	DATE    	
ACCUS_END_DATE	6	Y	N	DATE    	
ACCUS_NICK_NAME	7	N	N	VARCHAR (30)	
ACCUS_APPROVAL_TYPE	8	N	N	CHAR    (1)	
ACCUS_STATUS	9	N	N	CHAR    (1)	
ACCUS_FIRST_ACCOUNT_FLAG	10	N	N	CHAR    (1)	
ACCUS_INVESTMENT_FLAG	11	N	N	CHAR    (1)	
ACCUS_ARR_TYPE	12	N	N	SMALLINT	101
SCLOAN.LAM_LOAN_INFO  
LOAN_PARTITION_INDEX	1	N	Y	SMALLINT	
LOAN_ACC_ID	2	N	Y	BIGINT  	
LOAN_CRY_FX_F	3	Y	N	CHAR    (1)	
LOAN_CLOSE_REASON	4	Y	N	CHAR    (2)	
LOAN_VAL_PRVLDG_CODE	5	Y	N	CHAR    (1)	
LOAN_INSTALLMENT_COUNT	6	Y	N	SMALLINT	
LOAN_FLEXIBLE_F	7	Y	N	CHAR    (1)	
LOAN_SCHEDULED_CLOSING_DT	8	Y	N	DATE    	
LOAN_CAMPAIGN_PD_ID	9	Y	N	BIGINT  	
LOAN_NKP_CODE	10	Y	N	VARCHAR (20)	
LOAN_NEXT_INT_DT	11	Y	N	DATE    	
LOAN_INT_PER	12	Y	N	SMALLINT	
LOAN_INT_PER_TYPE	13	Y	N	CHAR    (1)	
LOAN_SRC_CODE	14	Y	N	SMALLINT	
LOAN_OPENING_CRY	15	Y	N	DECIMAL (14,7)	
LOAN_AUTO_PROCEEDING_F	16	Y	N	CHAR    (1)	
LOAN_EXPORT_CODE	17	Y	N	CHAR    (1)	
LOAN_BLOCKAGE_CODE	18	Y	N	CHAR    (1)	
LOAN_TRX_AUTH_CODE	19	Y	N	CHAR    (2)	
LOAN_INT_TERM	20	Y	N	CHAR    (2)	
LOAN_COMMERCIAL_F	21	Y	N	CHAR    (1)	
LOAN_APP_F	22	Y	N	CHAR    (1)	
LOAN_PP_LOC	23	Y	N	CHAR    (1)	
LOAN_REFINANSMAN_F	24	Y	N	CHAR    (1)	
LOAN_TAX_CODE	25	Y	N	CHAR    (1)	
LOAN_FUND_CODE	26	Y	N	CHAR    (1)	
LOAN_INTER_BRANCH	27	Y	N	SMALLINT
SCLOAN.LOAN_EXTSN
LEX_PART_INDEX	1	N	Y	SMALLINT	
LEX_ACC_ID	2	N	Y	BIGINT  	
LEX_TCMB_REF_NO	3	Y	N	BIGINT  	
LEX_COMMIT_CODE	4	Y	N	CHAR    (1)	
LEX_RISK_CODE	5	Y	N	CHAR    (1)	
LEX_TAX_CODE	6	Y	N	CHAR    (1)	
LEX_FUND_CODE	7	Y	N	CHAR    (1)	
LEX_TRANSIT_TRADE_F	8	Y	N	CHAR    (1)	
LEX_LIBOR_TERM	9	Y	N	CHAR    (2)	
LEX_LIBOR_CHG_CODE	10	Y	N	CHAR    (1)	
LEX_LIBOR_CHG_FREQ	11	Y	N	CHAR    (2)	
LEX_COMMSN_CODE	12	Y	N	CHAR    (1)	
LEX_INCENTIVE_CERT_NO	13	Y	N	CHAR    (10)	
LEX_INTEREST_RATE_TYPE	14	Y	N	CHAR    (2)	
LEX_MATURITY_CHANGED_DATE	15	Y	N	DATE    	
LEX_ACTUAL_INT_TYPE	16	Y	N	CHAR    (1)	
LEX_CHEQUE_MARGIN	17	Y	N	SMALLINT	0
LEX_NOTE_MARGIN	18	Y	N	SMALLINT	0
LEX_NOTICE_PER	19	Y	N	SMALLINT	
LEX_RELATED_INSR_BRANCH_C...	20	Y	N	SMALLINT	
LEX_RELATED_INSR_TYPE	21	Y	N	CHAR    (1)	
LEX_RELATED_INSR_PASSBOOK...	22	Y	N	INTEGER 	
LEX_TMO_CODE	23	Y	N	CHAR    (1)	
LEX_XAU_WAIT_DURATION	24	Y	N	SMALLINT
SCLOAN.PP_PYMT_PLAN
PPL_PLAN_ID	1	N	Y	BIGINT  	
PPL_VERSION	2	N	Y	SMALLINT	
PPL_PD_ID	3	N	N	INTEGER 	
PPL_CUST_NO	4	Y	N	INTEGER 	
PPL_ACC_ID	5	Y	N	BIGINT  	
PPL_APP_ID	6	Y	N	BIGINT  	
PPL_BRANCH_CODE	7	Y	N	SMALLINT	
PPL_CRY_CODE	8	N	N	DECIMAL (3,0)	
PPL_LOAN_AMT	9	N	N	DECIMAL (18,2)	
PPL_INSTALLMENT_AMT	10	Y	N	DECIMAL (18,2)	
PPL_PREPAID_INT_BY_CUST	11	Y	N	DECIMAL (18,2)	
PPL_PREPAID_INT_BY_FIRM	12	Y	N	DECIMAL (18,2)	
